,mitosis1,mitosis2,mitosis3,division1,division2,division3,apoptosis,Of of View,END,Remarks
0,58,0,0,0,0,0,65,0,0,Remarks: 
1,51,0,0,55,0,0,0,0,74,Remarks: 
2,0,0,0,0,0,0,0,0,74,Remarks: 
3,0,0,0,0,0,0,0,0,74,Remarks: 
4,0,0,0,0,0,0,0,0,73,Remarks: 
5,34,0,0,39,0,0,0,0,74,Remarks: 
6,37,0,0,42,0,0,0,0,74,Remarks: 
7,34,0,0,37,0,0,0,0,74,Remarks: 
8,10,0,0,15,0,0,0,0,74,Remarks: 
9,4,0,0,8,0,0,0,0,74,Remarks: 
10,58,0,0,0,0,0,0,0,74,Remarks: 
11,11,0,0,17,0,0,0,0,74,Remarks: 
12,0,0,0,0,0,0,0,0,74,Remarks: 
13,16,0,0,21,0,0,0,0,74,Remarks: 
14,0,0,0,0,0,0,0,0,74,Remarks: 
15,50,0,0,58,0,0,0,0,74,Remarks: 
16,66,0,0,69,0,0,0,0,74,Remarks: 
17,0,0,0,0,0,0,0,0,74,Remarks: 
18,0,0,0,0,0,0,0,0,74,Remarks: 
19,28,0,0,31,0,0,0,0,74,Remarks: 
20,66,0,0,69,0,0,0,0,74,Remarks: 
21,30,0,0,33,0,0,0,0,74,Remarks: 
22,61,0,0,63,0,0,0,0,74,Remarks: 
23,0,0,0,0,0,0,0,0,74,Remarks: 
24,39,0,0,44,0,0,0,0,74,Remarks: 
25,40,0,0,44,0,0,0,0,74,Remarks: 1| 
26,65,0,0,69,0,0,0,0,74,Remarks: 
27,0,0,0,0,0,0,0,0,74,Remarks: 
28,52,0,0,54,0,0,0,0,74,Remarks: 
29,0,0,0,0,0,0,0,0,74,Remarks: 
30,12,0,0,16,0,0,0,0,74,Remarks: 
31,28,0,0,32,0,0,0,0,74,Remarks: 
32,68,0,0,71,0,0,0,0,74,Remarks: 
33,0,0,0,0,0,0,0,0,74,Remarks: 
34,22,0,0,26,0,0,0,0,74,Remarks: 
35,56,0,0,60,0,0,0,0,74,Remarks: 
36,38,0,0,41,0,0,0,0,74,Remarks: 
37,0,0,0,0,0,0,0,0,74,Remarks: 
38,65,0,0,69,0,0,0,0,74,Remarks: 
39,3,0,0,6,0,0,0,0,74,Remarks: 
40,71,0,0,73,0,0,0,0,74,Remarks: 
41,41,0,0,46,0,0,0,0,74,Remarks: 
42,59,0,0,63,0,0,0,0,74,Remarks: 
43,39,0,0,42,0,0,0,0,74,Remarks: 
44,36,0,0,38,0,0,0,0,74,Remarks: 
45,64,0,0,66,0,0,0,0,74,Remarks: 
46,0,0,0,0,0,0,0,0,74,Remarks: 
47,71,0,0,0,0,0,0,74,0,Remarks: 
48,0,0,0,0,0,0,0,0,74,Remarks: 
49,0,0,0,0,0,0,0,0,74,Remarks: 
50,26,0,0,33,0,0,0,0,74,Remarks: 
51,34,0,0,38,0,0,0,0,74,Remarks: 
52,34,0,0,39,0,0,0,0,74,Remarks: 
53,31,0,0,33,0,0,0,0,74,Remarks: 
54,33,0,0,38,0,0,0,0,74,Remarks: 
55,0,0,0,0,0,0,0,0,74,Remarks: 
56,51,0,0,56,0,0,0,0,74,Remarks: 
57,0,0,0,0,0,0,0,0,74,Remarks: 
58,0,0,0,0,0,0,0,0,74,Remarks: 
59,51,0,0,54,0,0,0,0,74,Remarks: 
60,10,0,0,14,0,0,0,0,74,Remarks: 
61,62,0,0,66,0,0,0,0,74,Remarks: 
62,0,0,0,0,0,0,0,0,74,Remarks: 
63,0,0,0,0,0,0,0,0,74,Remarks: 
64,0,0,0,0,0,0,0,0,74,Remarks: 
65,2,0,0,6,0,0,0,0,74,Remarks: 
66,14,0,0,17,0,0,0,0,74,Remarks: 
