,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing
0,0.5,0,0.9983898905923734,0.3961352657004831,82,111,14
1,0.5,500,0.9761907875864171,0.5030674846625767,82,67,14
2,0.5,1000,0.9087828282360453,0.6136363636363636,81,36,15
3,0.5,1500,0.9990164746836755,0.6896551724137931,80,20,16
4,0.5,2000,0.9990164746836755,0.7407407407407407,80,12,16
5,0.5,2500,0.9990164746836755,0.7692307692307693,80,8,16
6,0.5,3000,0.9990002017700138,0.7669902912621359,79,7,17
7,0.5,3500,0.9992798158153429,0.7647058823529411,78,6,18
8,0.5,4000,0.9993037047789878,0.7326732673267327,74,5,22
9,0.5,4500,0.9992611302245675,0.69,69,3,28
10,0.5,5000,0.9993124276717056,0.6363636363636364,63,2,34
11,0.6,0,0.99792585763272,0.39805825242718446,82,110,14
12,0.6,500,0.976954415083076,0.4939759036144578,82,70,14
13,0.6,1000,0.908666611095495,0.5912408759124088,81,41,15
14,0.6,1500,0.908666611095495,0.6694214876033058,81,25,15
15,0.6,2000,0.9988826457044516,0.7272727272727273,80,14,16
16,0.6,2500,0.9988826457044516,0.7692307692307693,80,8,16
17,0.6,3000,0.9988836220501579,0.7596153846153846,79,8,17
18,0.6,3500,0.9991539077909734,0.7549019607843137,77,6,19
19,0.6,4000,0.9991367447523996,0.7352941176470589,75,6,21
20,0.6,4500,0.999114596230925,0.7,70,3,27
21,0.6,5000,0.9992103924578116,0.6363636363636364,63,2,34
22,0.7,0,0.9975895424149946,0.4019607843137255,82,108,14
23,0.7,500,0.9766534690349133,0.4823529411764706,82,74,14
24,0.7,1000,0.8785273006797619,0.6,81,39,15
25,0.7,1500,0.8785273006797619,0.6864406779661016,81,22,15
26,0.7,2000,0.9678807516561486,0.7339449541284404,80,13,16
27,0.7,2500,0.9678807516561486,0.7692307692307693,80,8,16
28,0.7,3000,0.9672713801801345,0.7669902912621359,79,7,17
29,0.7,3500,0.9672772713259885,0.7722772277227723,78,5,18
30,0.7,4000,0.9647814739960229,0.7425742574257426,75,5,21
31,0.7,4500,0.9635598630885275,0.72,72,3,25
32,0.7,5000,0.9597458820099181,0.6428571428571429,63,1,34
33,0.8,0,0.99772966390089,0.4,82,109,14
34,0.8,500,0.9468236586249805,0.49696969696969695,82,69,14
35,0.8,1000,0.8785433653580117,0.6044776119402985,81,38,15
36,0.8,1500,0.8785433653580117,0.6923076923076923,81,21,15
37,0.8,2000,0.9678430594323454,0.7407407407407407,80,12,16
38,0.8,2500,0.9678430594323454,0.7692307692307693,80,8,16
39,0.8,3000,0.9672320878267842,0.7669902912621359,79,7,17
40,0.8,3500,0.9672320878267842,0.7821782178217822,79,5,17
41,0.8,4000,0.966545228335656,0.7524752475247525,76,5,20
42,0.8,4500,0.9642763344573039,0.74,74,3,23
43,0.8,5000,0.9616129429025786,0.6666666666666666,66,2,31
44,0.9,0,0.9988453997482936,0.4039408866995074,82,107,14
45,0.9,500,0.9988453997482936,0.5,82,68,14
46,0.9,1000,0.9119930643994196,0.6119402985074627,82,38,14
47,0.9,1500,0.9119930643994196,0.6949152542372882,82,22,14
48,0.9,2000,0.9988304767346771,0.7431192660550459,81,13,15
49,0.9,2500,0.9988304767346771,0.7788461538461539,81,8,15
50,0.9,3000,0.9988304767346771,0.7864077669902912,81,7,15
51,0.9,3500,0.9988086462184319,0.7843137254901961,80,6,16
52,0.9,4000,0.9990178408519927,0.7450980392156863,76,5,21
53,0.9,4500,0.999006599877553,0.7425742574257426,75,4,22
54,0.9,5000,0.999063867121176,0.68,68,3,29
